,link,reviews,score,star,short_name
Hilton Singapore (SG Clean Certified),"https://www.agoda.com/en-us/hilton-singapore_6/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",1575,8.3,0,hilton-singapore_6
"Capri by Fraser - Changi City (SG Clean Certified,Staycation approved)",https://www.agoda.com/en-us/capri-by-fraser-changi-city/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,6801,8.6,0,capri-by-fraser-changi-city
YOTELAIR Singapore Changi Airport at Jewel (SG Clean Certified),"https://www.agoda.com/en-us/yotelair-singapore-changi-airport_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",2260,8.2,0,yotelair-singapore-changi-airport_2
Marina Bay Sands (SG Clean Certified),https://www.agoda.com/en-us/marina-bay-sands/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,48854,8.7,0,marina-bay-sands
One Farrer Hotel (SG Clean),"https://www.agoda.com/en-us/one-farrer-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=1,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",6640,9,0,one-farrer-hotel
Resorts World Sentosa - Equarius Hotel (SG Clean Certified),https://www.agoda.com/en-us/resorts-world-sentosa-equarius-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,6074,8.3,5,resorts-world-sentosa-equarius-hotel
Amara Singapore (SG Clean Certified),"https://www.agoda.com/en-us/amara-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16,8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",7862,8,0,amara-singapore
Hotel Soloha @ Chinatown (SG Clean),https://www.agoda.com/en-us/chinatown-hotel-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,351,8.8,0,chinatown-hotel-singapore
Hotel Mono - (SG Clean Certified),"https://www.agoda.com/en-us/hotel-mono/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=3,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",1745,8.4,3,hotel-mono
Mandarin Orchard Singapore -SG Clean Certified,"https://www.agoda.com/en-us/mandarin-orchard-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=5,16,8&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",27977,8.4,0,mandarin-orchard-singapore
