,link,reviews,score,star,short_name
Butternut Tree Hotel (SG Clean Certification),https://www.agoda.com/en-us/butternut-tree-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,992,7.9,0,butternut-tree-hotel
Bliss Hotel Singapore (SG Clean Certified),"https://www.agoda.com/en-us/bliss-hotel-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-25&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=8fe644ed-b869-4062-afd1-a58b90ebaa8c",3086,7.9,0,bliss-hotel-singapore
ST Signature Chinatown(SG Clean Certified),"https://www.agoda.com/en-us/st-signature-chinatown/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=3,16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f",543,8.8,0,st-signature-chinatown
Arton Boutique Hotel (SG Clean Certified),https://www.agoda.com/en-us/arton-boutique-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,4965,0,0,arton-boutique-hotel
RedDoorz Hotel near Marine Parade Central (SG Clean Certified),https://www.agoda.com/en-us/reddoorz-near-marine-parade-central/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1321,7.3,0,reddoorz-near-marine-parade-central
RedDoorz Hotel @ Geylang (SG Clean Certified),https://www.agoda.com/en-us/reddoorz-geylang/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,141,7.7,2,reddoorz-geylang
Summer View Hotel(SG Clean),"https://www.agoda.com/en-us/summer-view-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-25&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=8fe644ed-b869-4062-afd1-a58b90ebaa8c",2526,8.1,0,summer-view-hotel
XY Hotel Bugis by ASANDA Hotels and Resorts (SG Clean Certified),https://www.agoda.com/en-us/the-ardennes-hotel_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1575,7.9,0,the-ardennes-hotel_2
RedDoorz Hotel Plus @ Little India (SG Clean Certified),https://www.agoda.com/en-us/reddoorz-plus-little-india/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,226,7.5,3,reddoorz-plus-little-india
Classique Hotel (SG Clean Certified),https://www.agoda.com/en-us/classique-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,736,7.5,3,classique-hotel
Hotel NuVe - SG Clean Certified,"https://www.agoda.com/en-us/hotel-nuve/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",2753,7.8,0,hotel-nuve
Populous Hotel @ Bugis (SG Clean Certified),https://www.agoda.com/en-us/populous-hotel_4/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,241,7.8,0,populous-hotel_4
ST Signature Bugis Beach,https://www.agoda.com/en-us/st-signature-bugis-beach/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,29,8.4,3,st-signature-bugis-beach
RELC International Hotel,https://www.agoda.com/en-us/relc-international-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,4274,7.3,4,relc-international-hotel
Spacepod@lavender,https://www.agoda.com/en-us/spacepod-lavender_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1324,0,1,spacepod-lavender_2
Four Seasons Hotel Singapore (SG Clean Certified),https://www.agoda.com/en-us/four-seasons-hotel-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1446,9.1,0,four-seasons-hotel-singapore
MET A Space Pod @ Boat Quay,"https://www.agoda.com/en-us/met-a-space-pod-boat-quay/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",741,0,2,met-a-space-pod-boat-quay
K Hotel 14,https://www.agoda.com/en-us/k-hotel-14/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,162,5.6,3,k-hotel-14
Hotel NuVe Urbane - SG Clean Certified,https://www.agoda.com/en-us/hotel-nuve-urbane_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,1377,8.2,0,hotel-nuve-urbane_2
"Four Points by Sheraton Singapore, Riverview (SG Clean Certified)",https://www.agoda.com/en-us/four-points-by-sheraton-singapore-riverview/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,4136,7.6,0,four-points-by-sheraton-singapore-riverview
Galaxy Pods @ Chinatown,"https://www.agoda.com/en-us/galaxy-pods-chinatown_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f",809,8.2,2,galaxy-pods-chinatown_2
Aliwal Park Hotel,https://www.agoda.com/en-us/aliwal-park-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,2194,6.2,2,aliwal-park-hotel
Backpackers' Inn Chinatown,"https://www.agoda.com/en-us/backpackers-inn-chinatown/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=1,16&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6",839,7.9,0,backpackers-inn-chinatown
Hotel 81 Tristar (SG Clean Certified),https://www.agoda.com/en-us/hotel-81-tristar/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,3668,7,2,hotel-81-tristar
The Warehouse Hotel,https://www.agoda.com/en-us/the-warehouse-hotel_4/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-26&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=761cb31b-0e12-44e8-8c2d-7af14b232644,4,8.3,4,the-warehouse-hotel_4
The Quay Hotel West Coast,https://www.agoda.com/en-us/santa-grand-hotel-west-coast/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,1222,7,3,santa-grand-hotel-west-coast
RedDoorz Hotel @ Aljunied (SG Clean Certified),https://www.agoda.com/en-us/reddoorz-aljunied/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,1297,7,2,reddoorz-aljunied
Harbour Ville Hotel - SG Clean Certified,https://www.agoda.com/en-us/harbour-ville-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,3470,6.8,3,harbour-ville-hotel
Harbour Ville Hotel Hamilton - SG Clean Certified,https://www.agoda.com/en-us/harbour-ville-hotel-hamilton/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,172,6.7,0,harbour-ville-hotel-hamilton
Kam Leng Hotel (SG Clean Certified),https://www.agoda.com/en-us/kam-leng-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,4012,7.2,3,kam-leng-hotel
Hotel 81 Premier Star (SG Clean Certified),https://www.agoda.com/en-us/hotel-81-premier-star/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,5879,7.6,0,hotel-81-premier-star
Raffles Hotel Singapore,https://www.agoda.com/en-us/raffles-hotel-singapore_9/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,707,9.2,0,raffles-hotel-singapore_9
Arianna Hotel,https://www.agoda.com/en-us/arianna-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,2455,6.2,2,arianna-hotel
Hotel Conforto,https://www.agoda.com/en-us/hotel-conforto/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,2080,7.7,3,hotel-conforto
ST Signature - Dusk Bugis Beach,https://www.agoda.com/en-us/st-signature-dusk-bugis-beach/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,15,0,3,st-signature-dusk-bugis-beach
The Haven by JetQuay,"https://www.agoda.com/en-us/the-haven-by-jetquay/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",465,7.9,3,the-haven-by-jetquay
Capella The Club Residences Singapore,https://www.agoda.com/en-us/capella-the-club-residences-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-20&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=81d8d274-d05d-4fbc-b005-7e3b4651e4c9,150,0,0,capella-the-club-residences-singapore
ST Signature - Dawn Bugis Beach,https://www.agoda.com/en-us/st-signature-dawn-bugis-beach/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,12,7.8,3,st-signature-dawn-bugis-beach
Lai Ming Hotel Cosmoland (SG Clean Certified),https://www.agoda.com/en-us/lai-ming-hotel-cosmoland/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,1673,6.3,3,lai-ming-hotel-cosmoland
MET A Space Pod @ Arab Street,"https://www.agoda.com/en-us/met-a-space-pod-arab-street/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=1,16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f",1075,8.4,0,met-a-space-pod-arab-street
Fragrance Hotel - Rose (SG Clean Certified),https://www.agoda.com/en-us/fragrance-hotel-rose/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1207,7.2,0,fragrance-hotel-rose
The Noble Hotel (SG Clean Certification),https://www.agoda.com/en-us/the-noble-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,698,0,3,the-noble-hotel
ZEN Rooms Oasis (SG Clean & Staycation Certified),https://www.agoda.com/en-us/regin-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,623,7.1,3,regin-hotel
Fragrance Hotel - Kovan (SG Clean Certified),https://www.agoda.com/en-us/fragrance-hotel-kovan/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,224,6.6,2,fragrance-hotel-kovan
Hotel 81 Elegance,https://www.agoda.com/en-us/hotel-81-elegance/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,3983,6.8,2,hotel-81-elegance
CapsulePod@Aljunied,"https://www.agoda.com/en-us/capsulepod-aljunied/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=6,16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f",329,9.2,2,capsulepod-aljunied
Hotel Clover 5 Hongkong Street (SG Clean),https://www.agoda.com/en-us/hotel-clover-5-hongkong-street/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1840,7.7,0,hotel-clover-5-hongkong-street
ZEN Rooms Novena,https://www.agoda.com/en-us/zen-rooms-novena/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,107,7.3,4,zen-rooms-novena
Rest Bugis Hotel(SG Clean),https://www.agoda.com/en-us/santa-grand-hotel-bugis/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,4910,7.5,0,santa-grand-hotel-bugis
Spacepod@com,"https://www.agoda.com/en-us/spacepod-com_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=1,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",1025,8.7,2,spacepod-com_2
Hotel 81 Changi (SG Clean Certified),https://www.agoda.com/en-us/hotel-81-changi/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6,781,6.9,2,hotel-81-changi
RedDoorz Hotel Premium @ Serangoon (SG Clean Certified),"https://www.agoda.com/en-us/reddoorz-premium-serangoon/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",123,8.1,3,reddoorz-premium-serangoon
Resorts World Sentosa - Crockfords Tower,https://www.agoda.com/en-us/resorts-world-sentosa-crockfords-tower/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,30,8.2,5,resorts-world-sentosa-crockfords-tower
S Inn Clarke Quay,"https://www.agoda.com/en-us/beds-and-dreams-inn-clarke-quay/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",579,7.8,2,beds-and-dreams-inn-clarke-quay
